TTO;N;P;B;PL;SDT;FC;R;CCI;CCI.R;CCI.I;FC.R;FC.I
1.8N/1.2P;1.8N;1.2P;2;183;7;0,966;2;34,8;34,8;FALSO;0,966;FALSO
1.8N/1.2P;1.8N;1.2P;2;183;7;0,839;3;30,9;30,9;FALSO;0,839;FALSO
1.8N/1.2P;1.8N;1.2P;2;183;7;0,738;4;27,2;27,2;FALSO;0,738;FALSO
1.8N/1.2P;1.8N;1.2P;2;187;7;0,772;1;14,1;14,1;FALSO;0,772;FALSO
1.8N/1.2P;1.8N;1.2P;2;187;7;0,703;2;16,9;16,9;FALSO;0,703;FALSO
1.8N/1.2P;1.8N;1.2P;2;187;7;0,613;3;16,2;16,2;FALSO;0,613;FALSO
1.8N/1.2P;1.8N;1.2P;2;187;7;0,7;4;15,7;15,7;FALSO;0,7;FALSO
2.5N/1.2P;2.5N;1.2P;2;190;7;0,596;1;9,7;9,7;FALSO;0,596;FALSO
2.5N/1.2P;2.5N;1.2P;2;190;7;0,676;2;8,9;8,9;FALSO;0,676;FALSO
2.5N/1.2P;2.5N;1.2P;2;190;7;0,733;3;11,7;11,7;FALSO;0,733;FALSO
2.5N/1.2P;2.5N;1.2P;2;190;7;0,588;4;10,3;10,3;FALSO;0,588;FALSO
2.5N/1.2P;2.5N;1.2P;2;193;7;0,736;1;19,8;19,8;FALSO;0,736;FALSO
2.5N/1.2P;2.5N;1.2P;2;193;7;0,724;2;21,6;21,6;FALSO;0,724;FALSO
2.5N/1.2P;2.5N;1.2P;2;193;7;0,778;3;16,4;16,4;FALSO;0,778;FALSO
2.5N/1.2P;2.5N;1.2P;2;193;7;0,755;4;19,8;19,8;FALSO;0,755;FALSO
1.1N/0.6P;1.1N;0.6P;2;198;7;0,664;1;24;24;FALSO;0,664;FALSO
1.1N/0.6P;1.1N;0.6P;2;198;7;0,619;2;10,7;10,7;FALSO;0,619;FALSO
1.1N/0.6P;1.1N;0.6P;2;198;7;0,69;3;17,9;17,9;FALSO;0,69;FALSO
1.1N/0.6P;1.1N;0.6P;2;198;7;0,9;4;13,8;13,8;FALSO;0,9;FALSO
0.0N/0.0P;0.0N;0.0P;3;201;7;0,777;1;14,7;14,7;FALSO;0,777;FALSO
0.0N/0.0P;0.0N;0.0P;3;201;7;0,777;2;13,1;13,1;FALSO;0,777;FALSO
0.0N/0.0P;0.0N;0.0P;3;201;7;0,777;3;14,9;14,9;FALSO;0,777;FALSO
0.0N/0.0P;0.0N;0.0P;3;201;7;0,777;4;9,9;9,9;FALSO;0,777;FALSO
0.0N/0.0P;0.0N;0.0P;3;208;7;1,006;1;12;12;FALSO;0,777;VERDADERO
0.0N/0.0P;0.0N;0.0P;3;208;7;0,792;2;12,3;12,3;FALSO;0,792;FALSO
0.0N/0.0P;0.0N;0.0P;3;208;7;0,548;3;10,3;10,3;FALSO;0,777;VERDADERO
0.0N/0.0P;0.0N;0.0P;3;208;7;0,611;4;17,5;17,5;FALSO;0,611;FALSO
0.0N/0.0P;0.0N;0.0P;3;209;7;0,794;1;12,9;12,9;FALSO;0,794;FALSO
0.0N/0.0P;0.0N;0.0P;3;209;7;0,789;2;14,8;14,8;FALSO;0,789;FALSO
0.0N/0.0P;0.0N;0.0P;3;209;7;0,799;3;17,3;17,3;FALSO;0,799;FALSO
0.0N/0.0P;0.0N;0.0P;3;209;7;0,796;4;15,4;15,4;FALSO;0,796;FALSO
1.1N/0.0P;1.1N;0.0P;3;215;7;0,696;1;11,4;11,4;FALSO;0,696;FALSO
1.1N/0.0P;1.1N;0.0P;3;215;7;0,812;2;12,9;12,9;FALSO;0,812;FALSO
1.1N/0.0P;1.1N;0.0P;3;215;7;0,6;3;26,1;26,1;FALSO;0,749;VERDADERO
1.1N/0.0P;1.1N;0.0P;3;215;7;0,735;4;9,8;9,8;FALSO;0,735;FALSO
1.8N/0.0P;1.8N;0.0P;3;217;7;0,873;1;19,4;19,4;FALSO;0,873;FALSO
1.8N/0.0P;1.8N;0.0P;3;217;7;0,649;2;15,7;15,7;FALSO;0,649;FALSO
1.8N/0.0P;1.8N;0.0P;3;217;7;0,851;3;13,7;13,7;FALSO;0,851;FALSO
1.8N/0.0P;1.8N;0.0P;3;217;7;0,851;4;16,1;16,1;FALSO;0,851;FALSO
1.8N/0.0P;1.8N;0.0P;3;218;7;0,777;1;16,9;16,9;FALSO;0,777;FALSO
1.8N/0.0P;1.8N;0.0P;3;218;7;0,761;2;17,2;17,2;FALSO;0,761;FALSO
1.8N/0.0P;1.8N;0.0P;3;218;7;0,789;3;24,6;24,6;FALSO;0,789;FALSO
1.8N/0.0P;1.8N;0.0P;3;218;7;0,725;4;24;24;FALSO;0,725;FALSO
2.5N/0.0P;2.5N;0.0P;3;225;7;0,763;1;12,5;12,5;FALSO;0,763;FALSO
2.5N/0.0P;2.5N;0.0P;3;225;7;0,763;2;10,7;10,7;FALSO;0,763;FALSO
2.5N/0.0P;2.5N;0.0P;3;225;7;0,763;3;9,1;9,1;FALSO;0,763;FALSO
2.5N/0.0P;2.5N;0.0P;3;225;7;0,763;4;10,9;10,9;FALSO;0,763;FALSO
2.5N/0.0P;2.5N;0.0P;3;230;7;0,745;1;13,1;13,1;FALSO;0,745;FALSO
2.5N/0.0P;2.5N;0.0P;3;230;7;0,811;2;11,8;11,8;FALSO;0,811;FALSO
2.5N/0.0P;2.5N;0.0P;3;230;7;0,753;3;16,9;16,9;FALSO;0,753;FALSO
2.5N/0.0P;2.5N;0.0P;3;230;7;0,781;4;17,3;17,3;FALSO;0,781;FALSO
0.0N/0.6P;0.0N;0.6P;3;234;7;0,445;1;58,3;18,8;VERDADERO;0,7605;VERDADERO
0.0N/0.6P;0.0N;0.6P;3;234;7;0,394;2;43,4;18,8;VERDADERO;0,7605;VERDADERO
0.0N/0.6P;0.0N;0.6P;3;234;7;0,752;3;52,9;18,8;VERDADERO;0,752;FALSO
0.0N/0.6P;0.0N;0.6P;3;234;7;0,758;4;51,7;18,8;VERDADERO;0,758;FALSO
0.0N/0.6P;0.0N;0.6P;3;237;7;0,709;1;22,4;22,4;FALSO;0,709;FALSO
0.0N/0.6P;0.0N;0.6P;3;237;7;0,675;2;19,6;19,6;FALSO;0,675;FALSO
